Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-002607,10/3/2019,2:14:00 PM,ROSS\VARI LINK,Disorderly Behaviour,Belligerent Person,A community member reported an unknown male attended the Information kiosk and made an inappropriate comment towards a community member. A description of the male was obtained.
2019-002608,10/3/2019,3:56:00 PM,340 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to the bike rack outside the residence.
2019-002609,10/3/2019,6:40:00 PM,YORK LIONS STADIUM,Emergency Medical,Injury,Security and EMS responded to a report that a community member sustained a wrist injury while participating in a rugby game. First aid was provided on scene and EMS transported the individual to hospital for further medical care.
2019-002610,10/3/2019,7:20:00 PM,FOUNDERS COLLEGE,Damage,University Property,A Security patrol discovered a damaged pane of glass in an interior door. The cause of the damage was not determined. The Work Control Centre was notified.
2019-002612,10/3/2019,8:05:00 PM,VARI HALL,Assault,Common,Security and Toronto Police responded to a report that a community member was assaulted by a known non-community member. Minor injuries were reported. The suspect was identified and arrested on scene by police.
2019-002611,10/3/2019,8:41:00 PM,PARKING LOT 1 - YORK BLVD,Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the lot without making payment for parking. A licence plate number was obtained and referred to Parking Enforcement.
2019-002614,10/3/2019,9:50:00 PM,BERGERON ENGINEERING BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a basement level classroom.
2019-002613,10/3/2019,9:59:00 PM,KEELE CAMPUS,Fraud,Debit\Credit Card,A community member reported their YU card was used without authorization at several Keele campus locations.
2019-002615,10/3/2019,10:40:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder was requested to lower the noise level.
2019-002616,10/4/2019,12:35:00 AM,KEELE CAMPUS RESIDENCE,Emergency Medical,Sudden Illness,"Security, Toronto Police and EMS responded to a report of a community member in distress. Toronto Police transported the individual to hospital for further medical care."
2019-002620,10/4/2019,10:44:00 AM,KEELE CAMPUS,Information,Health & Safety Concern,A community member expressed a concern for their well-being following a dispute with another community member.
2019-002621,10/4/2019,11:03:00 AM,CENTRAL SQUARE,Fire Alarm,Malicious Activation,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station."
2019-002622,10/4/2019,3:12:00 PM,POND ROAD RESIDENCE,Trespass to Property Act,Community Member,Security responded to a report that a previously trespassed community member was observed inside the residence. A description of the individual was obtained.
2019-002623,10/4/2019,4:36:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the library.
2019-002624,10/4/2019,4:49:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. A licence plate number was obtained and referred to Parking Enforcement.
2019-002625,10/4/2019,6:05:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-002626,10/4/2019,7:58:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet left unattended on the fourth floor.
2019-002627,10/4/2019,8:14:00 PM,PETRIE SCIENCE and ENGINEERING,"Mischief, Under $5000",University Property,Security responded to a report that an emergency shower had been activated without cause. The Work Control Centre was notified. Descriptions of three individuals fleeing the scene were obtained.
2019-002630,10/4/2019,11:54:00 PM,YORK LANES RETAIL,Emergency Medical,Injury,Security responded to a report that a non- community member fell and sustained an injury. First aid was provided on scene. Further medical care was declined.
2019-002632,10/5/2019,12:54:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the building. The individual was identified and escorted off campus.
2019-002633,10/5/2019,6:22:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security and Toronto Police responded to a report that a known non-community member was loitering in the building and refused to leave when directed. The individual was identified and escorted off campus.
2019-002634,10/5/2019,7:42:00 AM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",University Property,A Security patrol discovered damage to a University vehicle.
2019-002635,10/5/2019,8:53:00 AM,GOLDFARB CENTRE FOR FINE ARTS,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the first floor lobby.
2019-002638,10/5/2019,2:57:00 PM,ARBORETUM LANE,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a visitor fell while aboard a bus. EMS transported the individual to hospital for further medical care.
2019-002637,10/5/2019,3:27:00 PM,GLENDON COLLEGE - LOWER LOT HILL,Motor Vehicle Incident,Fail to Obey Regulatory Signs,A Security patrol observed a vehicle being operated at a high rate of speed. A licence plate number was obtained.
2019-002642,10/6/2019,5:30:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2019-002643,10/6/2019,11:19:00 PM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was loitering inside the student lounge. A description of the individual was obtained.
2019-002647,10/7/2019,9:26:00 AM,SCOTT LIBRARY,"Mischief, Under $5000",University Property,Complainant reported damage to a sink inside a second floor washroom. The Work Control Centre was notified.
2019-002646,10/7/2019,9:29:00 AM,PARKING GARAGE - STUDENT SERVICES (PS3),Motor Vehicle Incident,Collision \No Injuries,Security responded to a report that a vehicle equipped with a roof mounted bicycle rack struck the parking garage roof while entering the garage. No injuries were reported. Damage was sustained.
2019-002666,10/7/2019,1:37:00 PM,ROSS\VARI LINK,"Disturbance, Causing",Dispute,Security responded to a report that two individuals were involved in a verbal dispute during a tabling event. The involved individuals were cautioned and directed to part ways.
2019-002651,10/7/2019,2:09:00 PM,ROSS\VARI LINK,"Disturbance, Causing",Dispute,Security responded to a report that two community members had been involved in a dispute. The individuals were identified and cautioned.
2019-002652,10/7/2019,3:09:00 PM,GLENDON COLLEGE - PARKING LOT A,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision in the parking lot. No injuries were reported.
2019-002653,10/7/2019,3:48:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment. A licence plate number was obtained.
2019-002657,10/7/2019,9:34:00 PM,SENECA LANE,Robbery,No Injuries,Security and Toronto Police responded to a report of a robbery. A non-community member reported that he met with an unknown male who responded to a Kijiji advertisement for the sale of a laptop computer. The complainant handed the property over to the suspect. The suspect produced and unknown object and then fled the scene without making payment. No injuries were reported. A description of the suspect was obtained.
2019-002661,10/7/2019,9:53:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended in the fieldhouse.
2019-002655,10/7/2019,10:11:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",University Property,Complainant reported the theft of headphones left unattended in the fieldhouse.
2019-002656,10/7/2019,10:13:00 PM,SCOTT RELIGIOUS CENTRE,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass on the podium level of the Religious Centre. The Work Control Centre was notified.
2019-002659,10/7/2019,10:57:00 PM,WINTERS COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the building. The individual was identified and escorted off campus.
2019-002658,10/8/2019,12:25:00 AM,ROSS BUILDING - SOUTH TOWER,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was asleep inside a first floor classroom. The individual was identified and escorted off campus.
2019-002660,10/8/2019,1:02:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a previously trespassed non-community member asleep inside a lecture hall. The individual was identified and escorted off campus.
2019-002662,10/8/2019,3:00:00 AM,POND ROAD RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care."
2019-002664,10/8/2019,7:28:00 AM,CAMPUS WALK,"Mischief, Under $5000",University Property,A community member reported a memorial wreath had been deliberately damaged.
2019-002663,10/8/2019,8:38:00 AM,PARKING GARAGE - YORK LANES (PS1),Motor Vehicle Incident,Collision \No Injuries,Security responded to a report that a vehicle entering the parking garage was struck by a parking gate arm. No injuries were reported. Damage was sustained to the vehicle.
2019-002667,10/8/2019,12:32:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment. A licence plate number was obtained.
2019-002668,10/8/2019,1:39:00 PM,GLENDON COLLEGE,Missing Persons,Non-Community Member,Toronto Police requested assistance in locating a non-community member who is known to frequent the Glendon College campus. A description of the individual was obtained.
2019-002671,10/8/2019,2:48:00 PM,CHEMISTRY BUILDING,Domestic Dispute,Community Member,"Security and Toronto Police responded to a report of two individuals involved in a domestic dispute. No injuries were reported. The individuals involved were identified, cautioned and directed to part ways."
2019-002672,10/8/2019,4:14:00 PM,ACCOLADE WEST,Emergency Medical,Sudden Illness,Security responded to a report that a community member lost consciousness during a lecture. EMS was declined and the individual left campus in the care of a family member.
2019-002673,10/8/2019,6:32:00 PM,WILLIAM SMALL CENTRE,Information,Health & Safety Concern,Security responded to assist a community member who was experiencing symptoms of anxiety. The community member was provided with information on community resources and other campus services. Medical care was declined.
2019-002674,10/8/2019,7:35:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended on the fourth floor.
2019-002675,10/8/2019,8:00:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",University Property,A Security patrol discovered a university sign and parking area had been defaced with broken eggs. Parking Services was notified.
2019-002676,10/8/2019,9:39:00 PM,VANIER BASKETBALL COURT,Emergency Medical,Injury,Security responded to a report that a community member sustained a laceration while playing basketball. First aid was provided on scene. Further medical care was declined.
2019-002677,10/8/2019,11:17:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Damage,University Property,A Security patrol discovered a damaged parking gate arm. The cause of the damage was not determined. Parking Services was notified.
2019-002678,10/9/2019,2:16:00 AM,VANIER COLLEGE,"Disturbance, Causing",Loitering,A Security patrol encountered a former community member loitering inside a secure classroom. The individual was identified and directed to leave the building.
2019-002679,10/9/2019,3:34:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a lecture hall. The individual was identified and directed to leave the building.
2019-002680,10/9/2019,1:01:00 PM,PARKING LOT 8 - SENTINEL ROAD EAST RESERVED,"Mischief, Under $5000",Private Property,Complainant reported their vehicle was scratched while parked in the lot.
2019-002681,10/9/2019,2:35:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2019-002682,10/9/2019,3:33:00 PM,LIFE SCIENCES BUILDING,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing abdominal pain. EMS transported the individual to hospital for further medical care.
2019-002685,10/9/2019,11:59:00 PM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report that an unknown male was loitering inside the building. The male was identified as a previously trespassed non-community member and was escorted off campus.
2019-002687,10/10/2019,12:12:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder was requested to lower the noise level.
2019-002688,10/10/2019,1:46:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder was requested to lower the noise level.
2019-002686,10/10/2019,2:11:00 AM,KEELE CAMPUS RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff, Toronto Police and EMS responded to check on the well-being of a community member who was reported to be in distress. Toronto Police transported the individual to hospital for further medical care."
2019-002689,10/10/2019,5:49:00 AM,SCOTT LIBRARY,"Mischief, Under $5000",University Property,Security responded to a report that an unknown male damaged the entry door to the library. A description of the male was obtained.
2019-002691,10/10/2019,8:12:00 AM,SCOTT LIBRARY,Suspicious Persons,Subject not Identified,Security responded to a report that a community member overheard an unknown male make a concerning comment. The male was later identified as a known non- community member.
2019-002690,10/10/2019,10:05:00 AM,PARKING - YORK BLVD,"Theft, Under $5000",Private Property,Complainant reported the theft of a licence plate from a parked vehicle. Toronto Police was notified.
2019-002692,10/10/2019,11:46:00 AM,SCOTT LIBRARY,"Mischief, Under $5000",University Property,Security and Toronto Police responded to a report that an unknown male smashed a pane of glass at the library and was acting in a belligerent manner towards several community members. The male was identified as a community member and arrested on scene by police.
2019-002693,10/10/2019,2:35:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Fraud,Parking Related,Complainant reported a vehicle tailgated behind another vehicle and exited the garage without making payment for parking. The driver of the vehicle was identified and cautioned.
2019-002695,10/10/2019,6:13:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,A Security patrol encountered a group of unknown males smoking in the stairwell. The group fled the area when approached. Descriptions were obtained.
2019-002696,10/10/2019,7:03:00 PM,HARRY ARTHURS COMMON,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a community member slipped and fell on the Harry Arthurs Common. First aid was provided on scene. EMS transported the individual to hospital for further medical care.
2019-002698,10/10/2019,7:10:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Panhandling,Security responded to a report of two unknown males panhandling inside a restaurant. Descriptions of the males were obtained.
2019-002697,10/10/2019,8:05:00 PM,CALUMET COLLEGE,Damage,University Property,A Security patrol discovered a damaged perimeter door. The cause of the damage was not determined. The Work Control Centre was notified.
2019-002699,10/10/2019,9:23:00 PM,VARI HALL,Damage,University Property,A Security patrol discovered damage to accessibility components within a first floor classroom. The cause of the damage was not determined. The Work Control was notified.
2019-002700,10/10/2019,10:19:00 PM,TATHAM HALL RESIDENCE,Trespass to Property Act,Community Member,Security and Toronto Police responded to a report that a previously trespassed community member was observed in the building. The individual was identified and arrested by police.
2019-002702,10/11/2019,7:30:00 AM,POND ROAD RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member was experiencing abdominal pain. EMS assessed the individual on scene. Further medical care was declined.
2019-002703,10/11/2019,10:01:00 AM,KEELE CAMPUS,Harassment,By Email\Text Message,A community member reported receiving harassing email messages from a known community member.
2019-002705,10/11/2019,12:34:00 PM,ROSS BUILDING - SOUTH TOWER,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing abdominal pain. EMS transported the individual to hospital for further medical care.
2019-002704,10/11/2019,1:33:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-002706,10/11/2019,1:53:00 PM,ATKINSON COLLEGE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be a group of individuals inside an apartment. The group left the area prior to Security's arrival.
2019-002707,10/11/2019,2:29:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not determined.
2019-002708,10/11/2019,3:10:00 PM,OTTAWA ROAD,"Mischief, Under $5000",University Property,A Security patrol discovered an unauthorized poster affixed to a university sign. The poster was removed.
2019-002709,10/11/2019,3:15:00 PM,FOUNDERS RESIDENCE,"Disturbance, Causing",Soliciting,Security responded to a report of an unauthorized poster in the residence that appeared to solicit donations from community members.
2019-002710,10/11/2019,4:42:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2019-002711,10/11/2019,5:38:00 PM,STEACIE SCIENCE AND ENGINEERING BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the library.
2019-002712,10/11/2019,6:00:00 PM,GLENDON COLLEGE - WOOD RESIDENCE,"Mischief, Under $5000",University Property,Security responded to a report of a smashed pane of glass in a stairwell door. The Work Control Centre was notified.
2019-002713,10/11/2019,7:17:00 PM,VANIER BASKETBALL COURT,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended near the basketball court.
2019-002715,10/12/2019,12:11:00 AM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-002716,10/12/2019,12:45:00 AM,BERGERON ENGINEERING BUILDING,Assault,Common,A Seneca College community member reported being assaulted by an unknown male. A minor injury was reported. Medical care and police assistance were declined.
2019-002714,10/12/2019,2:12:00 AM,PARKING LOT - SENTINEL ROAD,Motor Vehicle Incident,Collision \No Injuries,Security and Toronto Police responded to a report that a vehicle was being operated in a dangerous manner and struck several parked vehicles before the driver and three passengers fled on foot. No injuries were reported. The owners of the vehicles were identified as short term rental companies.
2019-002718,10/12/2019,10:58:00 AM,PARKING GARAGE - STUDENT SERVICES (PS3),"Theft, Under $5000",Private Property,Complainant reported the theft of footwear from a parked vehicle. The driver side window had been smashed to provide entry.
2019-002720,10/12/2019,1:54:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended in a locker room.
2019-002721,10/12/2019,2:18:00 PM,ACCOLADE EAST,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended inside a second floor washroom.
2019-002723,10/12/2019,3:53:00 PM,TAIT MCKENZIE BLDG,Suspicious Persons,Subject Identified,"Security responded to a report that a patron was acting in a concerning manner. The individual was identified as a former community member. At the request of staff, he was cautioned and directed to leave the building."
2019-002722,10/12/2019,4:30:00 PM,GLENDON COLLEGE - YORK HALL,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was asleep inside the Senate Chamber. The male left prior to Security's arrival. A description of the male was obtained.
2019-002728,10/12/2019,7:35:00 PM,GLENDON COLLEGE - WOOD RESIDENCE,"Mischief, Under $5000",University Property,Security responded to a report of a smashed pane of glass in a suite door. The Work Control Centre was notified.
2019-002725,10/12/2019,8:31:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),"Mischief, Under $5000",Private Property,A Security patrol discovered two vehicles with smashed windows. The owners were identified and reported nothing had been stolen.
2019-002726,10/12/2019,10:58:00 PM,FOUNDERS RESIDENCE,Disorderly Behaviour,Unauthorized Activities,Security and Residence Life staff responded to a report that a resident failed to abide by residence sign-in procedures and permitted a group of individuals to enter the residence through an emergency exit door. The resident was identified and the unauthorized guests were escorted out of the building.
2019-002727,10/13/2019,2:47:00 AM,FOUNDERS RESIDENCE,Emergency Medical,Injury,Security responded to a report that a community member was experiencing discomfort from a burn injury that was sustained at an off campus location. First aid was provided on scene. Further medical care was declined.
2019-002729,10/13/2019,9:39:00 AM,TAIT MCKENZIE BLDG,Mental Health Act,Non-Community Member,Security and Toronto Police responded to a report that a non-community member was in distress. The individual was taken into custody by police and transported to hospital for further medical care.
2019-002730,10/13/2019,12:23:00 PM,PARKING LOT - SHOREHAM DRIVE UNRESERVED,Assault,Common,Security and Toronto Police responded to a report that an unknown male tossed a cup of unknown liquid through the parking kiosk window when the attendant declined the individual free parking. A description of the suspect was obtained. No injuries were reported.
2019-002731,10/13/2019,12:58:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",University Property,Security responded to a report that a CCTV camera located on the second floor had been tampered with. A description of a suspect was obtained.
2019-002732,10/13/2019,7:59:00 PM,CAMPUS WALK,"Theft, Under $5000",Private Property,Complainant reported he loaned his cellular phone to an unknown male on a bicycle. The male failed to return it and fled the scene. A description of the male was obtained.
2019-002733,10/13/2019,8:11:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Emergency Medical,Injury,Security responded to a report that a resident sustained an injury when a washroom sink dislodged from the wall and fell on the individuals foot. The resident attended a hospital for medical care. Housing Services was notified.
2019-002736,10/13/2019,10:04:00 PM,90 ATKINSON ROAD RESIDENCE,Noise Complaint,Source Located,"Security responded to multiple noise complaints. The resident was identified, cautioned and requested to lower the noise level."
2019-002734,10/13/2019,11:00:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-002738,10/14/2019,2:04:00 AM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol discovered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-002737,10/14/2019,3:28:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol discovered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-002749,10/15/2019,2:05:00 PM,90 ATKINSON ROAD RESIDENCE,"Mischief, Under $5000",University Property,Security and York Fire Prevention responded to a report that unknown persons tampered with the fire system. The system was reset and the building returned to normal operations.
2019-002741,10/15/2019,2:28:00 PM,PARKING LOT 9 - THE POND ROAD,Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the lot.
2019-002742,10/15/2019,3:53:00 PM,"HEALTH, NURSING andENVIRONMENTALSTUDIES","Mischief, Under $5000",University Property,Security responded to a report that an unknown male was captured on video spray painting several CCTV cameras in the building. A description of the suspect was obtained.
2019-002744,10/15/2019,5:12:00 PM,CENTRAL SQUARE,Emergency Medical,Sudden Illness,Security responded to a report of an ill community member. Medical care was declined and the individual left campus in the care of a family member.
2019-002745,10/15/2019,6:32:00 PM,ARBORETUM LANE,"Mischief, Under $5000",University Property,A Security patrol discovered damage to a university sign. The Work Control Centre was notified.
2019-002748 ,10/16/2019,8:48:00 AM,CENTRAL SQUARE,"Theft, Under $5000",Private Property,A vendor reported the theft of money from several vending machines
2019-002750,10/16/2019,10:56:00 AM,ATKINSON COLLEGE,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep in a stairwell. The male was identified as a non-community member and was directed to leave the building.
2019-002751,10/16/2019,12:23:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended on the second floor.
2019-002752,10/16/2019,1:35:00 PM,ROSS BUILDING - SOUTH TOWER,Suspicious Package,Received by Mail,Security and Toronto Police responded to a report of a suspicious package sent to a university office. No threats were made and police determined no further action was required.
2019-002753,10/16/2019,1:53:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fifth floor.
2019-002755,10/16/2019,3:42:00 PM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol discovered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-002756,10/16/2019,4:32:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,A Security patrol discovered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-002757,10/16/2019,9:30:00 PM,LASSONDE BUILDING,Damage,University Property,A Security patrol discovered a damaged pane of glass at the south entrance. The cause of the damage was not determined. The Work Control Centre was notified.
2019-002758,10/16/2019,10:03:00 PM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and trespassed from campus.
2019-002762,10/17/2019,3:02:00 AM,COLONNADE,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered an unknown male on the Colonnade roof near Accolade West Building. The male was unable to provide identification. He was cautioned and directed to leave campus.
2019-002760,10/17/2019,3:35:00 AM,CENTRAL SQUARE,Suspicious Persons,Subject not Identified,"A Security patrol encountered two unknown males acting in a suspicious manner. When approached, the males fled in separate directions. Descriptions of the males were obtained."
2019-002761,10/17/2019,4:23:00 AM,FOUNDERS RESIDENCE,Disorderly Behaviour,Unauthorized Activities,Security identified and cautioned two community members following a complaint regarding the unauthorised use of emergency exit doors.
2019-002764,10/17/2019,10:09:00 AM,GLENDON HALL,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2019-002765,10/17/2019,12:57:00 PM,SCHULICH SCHOOL OF BUSINESS,Motor Vehicle Incident,Fail to Remain,A community member reported an unknown male in a vehicle bumped into her while attempting to move his vehicle from the sidewalk near the north west entrance of the building. No injuries were reported. A licence plate number was obtained.
2019-002767,10/17/2019,2:13:00 PM,YORK BLVD,Disorderly Behaviour,Unauthorized Activities,Security responded to a report that an unknown male was advertising on campus without authorization. The male was identified as a non-community member and was directed to leave campus.
2019-002766,10/17/2019,2:20:00 PM,SCOTT LIBRARY,Disorderly Behaviour,Belligerent Person,"Security responded to a report that a community member was causing a disturbance inside a computer lab and when asked to lower the noise level, he acted in a belligerent manner towards another community member."
2019-002768,10/17/2019,3:58:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-002769,10/17/2019,4:01:00 PM,WILLIAM SMALL CENTRE,Fire Alarm,Malicious Activation,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station."
2019-002770,10/17/2019,8:46:00 PM,TAIT MCKENZIE BLDG,Emergency Medical,Injury,Security and EMS responded to a report of a community member with a knee injury. EMS transported the individual to hospital for further medical care.
2019-002771,10/17/2019,9:30:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male acting in a suspicious manner. The male was identified as a previously trespassed non-community member and was escorted off campus.
2019-002773,10/17/2019,10:08:00 PM,KEELE CAMPUS,Assault,Sexual,Security and Toronto Police responded to a report that a community member had been sexually assaulted by a known non- community member. The suspect was identified and arrested on scene by police. The survivor is being provided with support from the Centre for Sexual Violence Response and Education and was provided with information on other community resources and campus services.
2019-002772,10/17/2019,11:19:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-002774,10/18/2019,3:05:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering inside a lecture hall. The individual was identified and directed to leave the building.
2019-002775,10/18/2019,3:14:00 AM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol observed an unknown male smash a pane of glass in a perimeter door. The male was identified as a community member. The Work Control Centre was notified.
2019-002776,10/18/2019,8:18:00 AM,GLENDON COLLEGE - CENTRAL SERVICES BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was in the building. The individual was identified and escorted out of the building.
2019-002777,10/18/2019,12:10:00 PM,FARQUHARSON BUILDING,Fire Alarm,Unknown Cause,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined."
2019-002780,10/19/2019,12:43:00 AM,FIRST STUDENT CENTRE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was determined to be four individuals smoking inside a fourth floor office. They were cautioned and directed to smoke outside.
2019-002782,10/19/2019,3:43:00 AM,NORMAN BETHUNE RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-002781,10/19/2019,4:00:00 AM,GLENDON COLLEGE - PARKING LOT F,"Mischief, Under $5000",University Property,A Security patrol discovered a damaged parking gate arm. Parking Services was notified.
2019-002783,10/19/2019,11:07:00 AM,GLENDON COLLEGE – SOCCER FIELD,"Mischief, Under $5000",University Property,Security responded to a report of turf damage on the soccer field. The cause of the damage appeared to be a result of a vehicle driving on the field. The Work Control Centre was notified.
2019-002784,10/19/2019,3:16:00 PM,YORK LIONS STADIUM,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a spectator at a soccer game fell and sustained a laceration. First aid was provided on scene. Further medical care was declined.
2019-002785,10/19/2019,8:00:00 PM,WINTERS RESIDENCE,Disorderly Behaviour,Unauthorized Activities,Security and Residence Life staff responded to a report that a resident failed to abide by the residence sign-in procedure and permitted a guest to enter the building through an emergency exit door. The resident was cautioned and the guest was directed to leave the building.
